"Path","Lines","Modified","KB"
"docs\portraits-prompt-reference.md","304","2026-06-13","36.4"
"docs\tasks\engine-items-8b-11.md","57","2026-06-12","2.3"
"edit-log.md","97","2026-06-27","13.9"
"eslint.config.mjs","18","2026-03-18","0.5"
"homepage-light.html","552","2026-07-07","38.7"
"lib\admin\auth.ts","96","2026-05-06","2.6"
"lib\bench\bench-adapters.ts","126","2026-06-06","5.4"
"lib\bench\bench-create.ts","73","2026-06-06","2.5"
"lib\bench\bench-gates.ts","211","2026-06-07","9.1"
"lib\bench\bench-report.ts","357","2026-06-06","18"
"lib\bench\bench-runner.ts","440","2026-06-06","17.7"
"lib\bench\bench-shared.ts","180","2026-06-06","8.2"
"lib\bench\bench-source-gen.ts","182","2026-06-06","7.5"
"lib\bench\bench-triage.ts","114","2026-06-07","4.9"
"lib\bundles\repo.ts","295","2026-05-06","10.7"
"lib\bundles\types.ts","56","2026-05-06","1.4"
"lib\openai.ts","7","2026-05-06","0.1"
"lib\saved prompts\diorama-group.txt","47","2026-03-23","1.1"
"lib\saved prompts\diorama-house.txt","55","2026-03-23","2"
"lib\saved prompts\diorama-person.txt","49","2026-03-23","2"
"lib\saved prompts\dollhouse-cutaway.txt","33","2026-03-23","0.9"
"lib\saved prompts\sports-memories.txt","34","2026-03-23","1.3"
"lib\shared\qa-log.ts","226","2026-06-07","8.5"
"lib\shared\qa-override.ts","73","2026-06-12","2.9"
"lib\shared\subject-redirect.ts","228","2026-06-06","8.8"
"lib\store\auth.ts","72","2026-05-06","2.4"
"lib\store\checkout.ts","342","2026-06-12","14.1"
"lib\store\entitlements.ts","419","2026-05-06","16"
"lib\store\generation-kickoff.ts","36","2026-05-06","1.4"
"lib\store\preview.ts","158","2026-06-12","5.9"
"lib\store\resultToken.ts","83","2026-05-06","2.5"
"lib\store\skus.ts","50","2026-05-06","1.4"
"lib\store\stripe.ts","24","2026-05-06","0.7"
"lib\store\tests\entitlements.test.ts","134","2026-05-06","4.4"
"lib\store\types.ts","68","2026-05-06","2.1"
"lib\supabase.ts","14","2026-05-06","0.5"
"lib\v1\_core\bundle.ts","26","2026-05-06","1.1"
"lib\v1\_core\expand.ts","57","2026-05-06","2"
"lib\v1\_core\levels.ts","44","2026-05-06","1.3"
"lib\v1\_core\moderation.ts","186","2026-05-06","8.7"
"lib\v1\_core\name-moderation.ts","113","2026-07-10","5.5"
"lib\v1\_core\rate-limit.ts","61","2026-05-06","2.1"
"lib\v1\_core\rejection-log.ts","138","2026-05-06","5.4"
"lib\v1\action\actionmini-blocks.ts","89","2026-07-19","7.4"
"lib\v1\action\actionmini-faceswap.ts","146","2026-05-09","4.9"
"lib\v1\action\actionmini-generator.ts","383","2026-07-19","14.9"
"lib\v1\action\actionmini-presets.ts","156","2026-07-19","11"
"lib\v1\action\actionmini-refine.ts","243","2026-05-09","10.9"
"lib\v1\action\actionmini-shared.ts","51","2026-05-06","1.7"
"lib\v1\action\Old\actionmini-expand.ts","121","2026-05-09","4"
"lib\v1\action\Old\actionmini-pass2.ts","333","2026-05-09","24.6"
"lib\v1\action\Old\actionmini-prompt.ts","285","2026-06-09","17.5"
"lib\v1\generators\abandoned.ts","80","2026-05-07","3.5"
"lib\v1\generators\alien.ts","89","2026-05-07","4.8"
"lib\v1\generators\base.ts","258","2026-05-07","14"
"lib\v1\generators\explosion.ts","80","2026-05-07","3.8"
"lib\v1\generators\fall.ts","71","2026-05-07","3.6"
"lib\v1\generators\fire.ts","90","2026-05-07","4.7"
"lib\v1\generators\flood.ts","79","2026-05-07","3.7"
"lib\v1\generators\haunted.ts","92","2026-05-07","4.6"
"lib\v1\generators\spring.ts","69","2026-05-07","3.5"
"lib\v1\generators\summer.ts","71","2026-05-07","3.7"
"lib\v1\generators\winter.ts","69","2026-05-07","3.5"
"lib\v1\groups\groups-blocks.ts","543","2026-07-11","36"
"lib\v1\groups\groups-expand.ts","40","2026-06-02","1.3"
"lib\v1\groups\groups-experimental.ts","277","2026-07-11","29.7"
"lib\v1\groups\groups-faceswap.ts","699","2026-05-13","26.7"
"lib\v1\groups\groups-generator.ts","522","2026-07-11","20.1"
"lib\v1\groups\groups-gpt-image.ts","91","2026-07-11","3.4"
"lib\v1\groups\groups-pass2.ts","218","2026-07-11","13.8"
"lib\v1\groups\groups-presets.ts","59","2026-05-13","1.9"
"lib\v1\groups\groups-prompt.ts","234","2026-07-19","30.8"
"lib\v1\groups\groups-refine.ts","520","2026-05-16","23.3"
"lib\v1\groups\groups-shared.ts","589","2026-07-11","23.7"
"lib\v1\groups\groups-shared-helpers.ts","17","2026-05-10","0.6"
"lib\v1\houses\houses-analyze.ts","93","2026-06-07","3.7"
"lib\v1\houses\houses-artists.ts","162","2026-06-07","12.3"
"lib\v1\houses\houses-artists-score.ts","77","2026-06-07","3.2"
"lib\v1\houses\houses-blocks.ts","623","2026-07-19","64.1"
"lib\v1\houses\houses-curiosities.ts","182","2026-07-10","13.8"
"lib\v1\houses\houses-effect-curator.ts","171","2026-07-10","11"
"lib\v1\houses\houses-expand.ts","80","2026-05-06","2.7"
"lib\v1\houses\houses-generator.ts","297","2026-07-10","10.6"
"lib\v1\houses\houses-presets.ts","644","2026-07-10","25.9"
"lib\v1\houses\houses-refine.ts","156","2026-07-10","10"
"lib\v1\houses\houses-shared.ts","189","2026-07-10","8.8"
"lib\v1\interior\interior-generator.ts","119","2026-05-06","6.9"
